text_unit_id,case_id,source_file,sequence,speaker,text
PREWORK_01_U0107,PREWORK_01,PREWORK_01_trans.docx,107,J,"A nawet samo to, że ona potrafi obrazić pracownika w obecności ludzi. Czyli na przykład, jak ja sprzedawałam wędliny, potrafiła do mnie podejść, naubliżać mi i wyjść. I tak, jakby jej to sprawiało radość, że ona ma tę władzę nad ludźmi."
PREWORK_01_U0119,PREWORK_01,PREWORK_01_trans.docx,119,J,"Zamykałam drzwi, żebym go nie słyszała. Albo kiedyś, jak tak mnie bardzo zdenerwowała, po prostu wyszłam przez tylne drzwi. Wiedziałam, że wrócę, bo nie wzięłam ani torebki, ani kurtki. Obeszłam sobie T. w fartuszku i wróciłam zapytać, czy szefowa już ochłonęła."
PREWORK_02_U0088,PREWORK_02,PREWORK_02_trans.docx,88,A,"Myślę, że znajomości odgrywają rolę, bo dostałam obie prace przez polecenie. To jest dość zamknięta strefa. Staram się nie palić za sobą mostów, bo kolejna szkoła najpierw dzwoni do dyrektora tej, w której pracowałam."
PREWORK_02_U0123,PREWORK_02,PREWORK_02_trans.docx,123,A,"Warunki to słabe. To, co robię i odpowiedzialność za dzieci powinny się przekładać na pensję, a zarabiamy po prostu tysiąc siedemset złotych niecałe."
PREWORK_03_U0023,PREWORK_03,PREWORK_03_trans.docx,23,A,"Nie mogę się zdecydować, czy wolałabym jeździć do pracy na osiem godzin i zapominać, czy pracować w domu. Dochodzą myśli o przyszłym macierzyństwie, a umowa o pracę mogłaby zapewnić pewien byt."
PREWORK_03_U0136,PREWORK_03,PREWORK_03_trans.docx,136,A,"Umowy zlecenia utrudniają mi dostanie kredytu. Gdyby nie to, że mąż ma umowę o pracę i przyzwoite wynagrodzenie, kredytu byśmy nie dostali. Sama szukałabym jakiejkolwiek pracy na umowę o pracę."
